Gene	Fold Change	Pvalue	Padj (FDR)	pct.1	pct.2
Zfhx3	0.41	0.00E+00	0.00E+00	0.09	0.32
Basp1	0.41	0.00E+00	0.00E+00	0.35	0.52
H2-DMa	0.41	0.00E+00	0.00E+00	0.19	0.42
Rsrp1	0.40	0.00E+00	0.00E+00	0.7	0.83
Ier5	0.40	0.00E+00	0.00E+00	0.15	0.37
PISD	0.39	0.00E+00	0.00E+00	0.24	0.47
Tmcc3	0.39	0.00E+00	0.00E+00	0.08	0.33
Trf	0.39	0.00E+00	0.00E+00	0.55	0.74
Son	0.38	0.00E+00	0.00E+00	0.36	0.58
Rhob	0.38	0.00E+00	0.00E+00	0.3	0.51
Sparc	0.38	0.00E+00	0.00E+00	0.85	0.92
Slco2b1	0.38	0.00E+00	0.00E+00	0.17	0.44
Arhgap5	0.38	0.00E+00	0.00E+00	0.12	0.39
Cd74	0.38	0.00E+00	0.00E+00	0.15	0.12
Itgb5	0.37	0.00E+00	0.00E+00	0.5	0.69
Hmha1	0.37	0.00E+00	0.00E+00	0.38	0.63
Gpr34	0.37	0.00E+00	0.00E+00	0.79	0.87
Cx3cr1	0.37	0.00E+00	0.00E+00	0.85	0.91
Marcks	0.37	0.00E+00	0.00E+00	0.61	0.75
Junb	0.36	0.00E+00	0.00E+00	0.17	0.4
Ly6e	0.35	0.00E+00	0.00E+00	0.65	0.82
Ccr5	0.35	0.00E+00	0.00E+00	0.11	0.4
P2ry13	0.35	0.00E+00	0.00E+00	0.42	0.66
Tmem176b	0.34	0.00E+00	0.00E+00	0.36	0.64
Adap2	0.34	0.00E+00	0.00E+00	0.07	0.34
Ssh2	0.34	0.00E+00	0.00E+00	0.13	0.44
Fscn1	0.34	0.00E+00	0.00E+00	0.18	0.47
Ecscr	0.34	0.00E+00	0.00E+00	0.17	0.47
Tmem173	0.32	0.00E+00	0.00E+00	0.08	0.39
Frmd4a	0.32	0.00E+00	0.00E+00	0.13	0.46
Ctsh	0.32	0.00E+00	0.00E+00	0.51	0.79
Ptgs1	0.32	0.00E+00	0.00E+00	0.37	0.69
Abi3	0.31	0.00E+00	0.00E+00	0.27	0.62
St3gal6	0.30	0.00E+00	0.00E+00	0.1	0.47
Mafb	0.28	0.00E+00	0.00E+00	0.29	0.53
Siglech	0.28	0.00E+00	0.00E+00	0.48	0.77
Rgs2	0.27	0.00E+00	0.00E+00	0.3	0.6
Slc2a5	0.27	0.00E+00	0.00E+00	0.12	0.51
Jun	0.26	0.00E+00	0.00E+00	0.12	0.39
Tgfbr1	0.24	0.00E+00	0.00E+00	0.17	0.56
Lpcat2	0.24	0.00E+00	0.00E+00	0.49	0.84
Btg2	0.24	0.00E+00	0.00E+00	0.05	0.38
Vsir	0.22	0.00E+00	0.00E+00	0.39	0.72
Cst3	0.22	0.00E+00	0.00E+00	1	1
P2ry12	0.20	0.00E+00	0.00E+00	0.85	0.97
Adap2os	0.17	0.00E+00	0.00E+00	0.06	0.53
Malat1	0.16	0.00E+00	0.00E+00	0.98	0.98
Tmem119	0.10	0.00E+00	0.00E+00	0.21	0.78
Selplg	0.07	0.00E+00	0.00E+00	0.29	0.76
